year,donor,amount,code,activity
1997,ASDB,3922870,14005,"Water Supply and Sanitation, purpose unspecified or does not fit under any other applicable codes"
1996,OFID,139168,14030,Basic drinking water supply and basic sanitation
1996,ASDB,835006,14005,"Water Supply and Sanitation, purpose unspecified or does not fit under any other applicable codes"
1996,ASDB,835006,14050,Waste management/disposal
2005,ASDF,90258484,14005,"Water Supply and Sanitation, purpose unspecified or does not fit under any other applicable codes"
2000,ASDB,54591592,14005,"Water Supply and Sanitation, purpose unspecified or does not fit under any other applicable codes"
2011,IDA,150000000,14050,Waste management/disposal
2010,IDA,95877868,14000,"Water Supply and Sanitation, combination of purposes"
2009,Belgium,1404309,14050,Waste management/disposal
2009,Belgium,909068,14030,Basic drinking water supply and basic sanitation
2009,Belgium,83154,14030,Basic drinking water supply and basic sanitation
2009,France,8544,14030,Basic drinking water supply and basic sanitation
2009,France,117129,14030,Basic drinking water supply and basic sanitation
2009,France,45264,14081,Education and training in water supply and sanitation
2009,France,284811,14030,Basic drinking water supply and basic sanitation
2009,France,196904,14005,"Water Supply and Sanitation, purpose unspecified or does not fit under any other applicable codes"
2009,Germany,11305,14081,Education and training in water supply and sanitation
2009,Germany,11360,14030,Basic drinking water supply and basic sanitation
2009,Germany,90771,14030,Basic drinking water supply and basic sanitation
2009,Germany,55260,14030,Basic drinking water supply and basic sanitation
2009,Germany,77452,14030,Basic drinking water supply and basic sanitation
2009,Germany,367341,14030,Basic drinking water supply and basic sanitation
2009,Germany,62812,14030,Basic drinking water supply and basic sanitation
2009,Germany,21149,14081,Education and training in water supply and sanitation
2009,Germany,752014,14050,Waste management/disposal
2009,Germany,485586,14050,Waste management/disposal
2009,Germany,654451,14050,Waste management/disposal
2009,Italy,699452,14030,Basic drinking water supply and basic sanitation
2009,Italy,13003,14030,Basic drinking water supply and basic sanitation
2009,Italy,19222480,14050,Waste management/disposal
2009,Norway,106887,14030,Basic drinking water supply and basic sanitation
2009,Norway,2178084,14050,Waste management/disposal
2009,Norway,18151,14050,Waste management/disposal
2009,United Kingdom,1268789,14030,Basic drinking water supply and basic sanitation
